Tipo,Título,Autor(es),Descripción,Valoración promedio,Fecha de lanzamiento
Película,Shinkansen Henkei Robo Shinkalion The Movie: The Marvelous Fast ALFA-X That Comes From the Future,,"The new enemies, Nahane and Ohanefu, along with the mysterious new Giant Monstrous Beings appear from space to take over the Earth! Holding the key to these events is Shinkalion ALFA-X, which was secretly developed by the Ultra Evolution Institute...!? For Hayato and Team Shinkalion, who had been living in peace, the battle begins again.",6.8,2019-12-01
Película,Marvel Studios Assembled: The Making of Doctor Strange in the Multiverse of Madness,,"Join visionary director Sam Raimi and the cast of the film as they recount their experiences bringing Marvel’s darkest story to life.  From world-building to universe-building, hear first hand accounts from the cast and crew on what it took to design, create and make each universe unique and believable.",7.1,2022-07-08
Película,Marvel Studios Assembled: The Making of the Guardians of the Galaxy Vol. 3,,"Join visionary director James Gunn and superstars such as Chris Pratt and Zoe Saldaña as they recount how “Guardians of the Galaxy Vol. 3” was conceived, shaped, and delivered to the world. And stand alongside the cast and crew in the emotional final moments of the shoot as they bid farewell to each other, and close this chapter in the saga of Peter Quill and his loveable band of misfit-warriors.",6.1,2023-09-13
Película,Marvel Studios Assembled: The Making of X-Men '97,,"Spend time with the original cast, along with new voices, as this behind-the-scenes special recalls the birth of ""X-Men: The Animated Series,"" and its revival thirty years later as ""X-Men '97.""",5.786,2024-05-21
Película,Marvelous Stunts Of Kung Fu,,"The stars are cast as a gorgeous woman, a mystic and a kung-fu expert.  They team up to form a united front when an insidious empire threatens the well-being of the land they love.",5.9,1979-01-01
Película,LEGO Marvel Super Heroes: Avengers Reassembled!,,The Avengers are forced to “party” with Ultron when he seeks to disassemble the team by taking control of Iron Man’s armor and enact a nefarious scheme to take over the world.,6.6,2015-11-16
Película,Marvel Studios Assembled: The Making of Secret Invasion,,"Through in-depth interviews with cast and crew, and exclusive behind-the-scenes footage, Assembled uncovers how Marvel Studios’ “Secret Invasion” was born. Witness what it took to conjure the world of the show, and spend time with Samuel L. Jackson as he dons the patch once again to engage in the most baffling battle of Nick Fury’s career.",4.9,2023-09-20
Película,Wee Sing in the Marvelous Musical Mansion,,"A mysterious package from Timbuktu? A door knocker that rattles off riddles? Music boxes that come to life? Piccolo Pizza and Piano Pudding? Where will you find such magical, musical, mysterious things? At Uncle Rubato’s Marvelous Musical Mansion! Dance and sing in every room with enchanting new friends and help Uncle Rubato, Aunty Annabella, Alex, Benji, and Kelly solve a most baffling mystery---who or what took all the missing musical treasures? Enjoy this wholesome entertainment for the entire family. Dazzling sets and over 20 uplifting song and dance numbers showcase adorable characters who inspire the love of music while sharing important values including self-esteem and being considerate of others.",3.3,1992-09-04
Película,Giannis: The Marvelous Journey,,A documentary that chronicles the extraordinary odyssey of NBA mega-star Giannis Antetokounmpo from an impoverished childhood in Greece as the son of Nigerian immigrants to the very top of the basketball world.,7.278,2024-02-19
Película,Marvel Rising: Heart of Iron,,"Ironheart, AKA Riri Williams, is having difficulty adjusting to college life as the youngest student there when the college's engineering lab is demolished by an alien and her best friend is kidnapped. Inspired by Iron Man, she develops a plan to save her friend.",6.8,2019-04-03
Película,Marvel Rising: Chasing Ghosts,,"Hot on the trails of Sheath and Exile, Ghost-Spider teams up with the rest of the Secret Warriors to bring down the villains for good.",6.8,2019-01-16
Película,Marvel One-Shot: All Hail the King,,A documentary filmmaker interviews the now-famous Trevor Slattery from behind bars.,6.752,2014-02-04
Película,Marvel One-Shot: The Consultant,,"Agent Coulson informs Agent Sitwell that the World Security Council wishes Emil Blonsky to be released from prison to join the Avengers Initiative. As Nick Fury doesn't want to release Blonsky, the two agents decide to send a patsy to sabotage the meeting...",6.342,2011-09-13
Película,Marvel Studios: Assembling a Universe,,"A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",6.875,2014-03-18
Película,Marvel Rising: Secret Warriors,,"When a threat no one could have expected bears down on the Marvel Universe, this ragtag, untrained band of teens have no choice but to rise together and prove to the world that sometimes the difference between a 'hero' and 'misfit' is just in the name.",6.7,2018-09-30
Película,The Lord of the Rings: The Return of the King,,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",8.5,2003-12-01
Película,The Lord of the Rings: The Fellowship of the Ring,,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",8.4,2001-12-18
Película,The Lord of the Rings: The Two Towers,,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",8.4,2002-12-18
Película,The Lord of the Rings,,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,6.6,1978-11-15
Película,The Lord of the Rings: The War of the Rohirrim,,"King Helm Hammerhand of Rohan rejects a marriage proposal for his daughter Hera, sparking a deadly feud with Lord Freca. The conflict escalates into a brutal siege during the Long Winter, with Helm defending against Freca's son, Wulf.",0.0,2024-12-11
Película,The Lord of the Rings: The Rings of Power Global Fan Screening,,"An edited version of the first two episodes of The Lord of the Rings: The Rings of Power, shown exclusively to fans in cinemas around the world in August 2022. In a time of relative peace, an ensemble cast of characters confronts the re-emergence of evil to Middle-earth.",7.056,2022-08-31
Película,A Passage to Middle-Earth: Making of 'Lord of the Rings',,The making of Peter Jackson's adaptation of Tolkien's classic work.,6.9,2001-12-09
Película,Lord of the Rings: The Hunt for Gollum,,A new film based on the novels.,0.0,
Película,Forging Through the Darkness: The Ralph Bakshi Vision for 'The Lord of the Rings',,"A deep look at how Ralph Bakshi made his version of Lord of the Rings (1978). With Ralph Bakshi, Victoria Bakshi-Yudis, Chris Conkling, Timothy Galfas, Scott Kleinman, & Tom Tataranowicz.",10.0,2010-04-10
Película,"J.R.R. Tolkien and the Birth of ""The Lord of the Rings"" and ""The Hobbit""",,"In a house in Oxford lived a remarkable man called J.R.R. Tolkien who told stories that thrilled the world. To this very day readers and film audiences are enjoying his magnificent epics “THE LORD OF THE RINGS” and “The Hobbit” – adapted to the big screen by producer, Peter Jackson. Although everybody has heard of Tolkien’s writing, very few people could tell you much about the man responsible for creating the best loved magical creatures that have become household names. This program will give you a real insight into the man behind the legends of “THE LORD OF THE RINGS,” and the people and places that shaped his unique literary genius. From the rolling English countryside to the sooty streets of Industrial Birmingham, the dreaming spires of Oxford to the World War I trenches of the blood soaked Somme; this is the story of the quintessential English College Professor who made epic mythology and legend accessible to one and all.",5.214,2004-12-31
Película,Creating the Lord of the Rings Symphony,,"Creating The Lord of the Rings Symphony includes excerpts of live concert footage from The Lord of the Rings Symphony: Six Movements for Orchestra, Chorus and Soloists, documentary commentary by Howard Shore, and the illustrations of Alan Lee and John Howe.",6.1,2004-12-14
Película,Darla's Book Club: Discussing the Lord of the Rings,,,10.0,2021-11-26
Película,"Master of the Rings: The Unauthorized Story Behind J.R.R. Tolkien's ""Lord of the Rings""",,"This documentary examines the social and cultural underpinnings of the trilogy of The Lord of the Rings by J.R.R. Tolkien, in an attempt to understand the work's phenomenal success and influence. The program looks for answers in the author's sources of inspiration, from the folk legends of Norway to the field of linguistics of which Tolkien was a lifelong student. It finds that the deep chord the story strikes owes its resonance to the author's use of archetypal imagery and language. Many examples of these recurrent themes and images are given, with readings from the work and other literature. Interviews with the book's illustrators, the brothers Hildebrandt, speak to the power of the imagery in the classic story. Scholars, Tolkien's children, and the author himself provide insight into the mythic themes and the spell they have cast over the vast readership of The Lord of the Rings.",9.0,2001-12-04
Película,The Lord of the Rings the Musical - Original London Production - Promotional Documentary,,"This 15-minute DVD follows the adaptation of LOTR for the stage, and features rehearsal and show footage of the initial production in Toronto as well as interviews with the creative team now preparing for the London production.",10.0,2007-01-01
Película,The Hobbit,,"Bilbo Baggins the Hobbit was just minding his own business, when his occasional visitor Gandalf the Wizard drops in one night. One by one, a whole group of dwarves drop in, and before he knows it, Bilbo has joined their quest to reclaim their kingdom, taken from them by the evil dragon Smaug. The only problem is that Gandalf has told the dwarves that Bilbo is an expert burglar, but he isn't...",6.5,1977-11-27
Película,The Making of The Fellowship of the Ring,,"A behind the scenes documentary from the making of the ""Fellowship of the Ring""",8.889,2002-04-01
Película,The Return of the King,,Two Hobbits struggle to destroy the Ring in Mount Doom while their friends desperately fight evil Lord Sauron's forces in a final battle.,6.4,1980-05-11
Película,The Making of the Return of the King,,"Created by filmmaker Costa Botes (personally selected by Peter Jackson), this documentary uses raw footage to reveal the inside story on how the greatest adventure film franchise was born. Included as a bonus feature with ""The Lord of the Rings: The Return of the King - Limited Edition"".",8.214,2004-04-01
Película,The Making of The Two Towers,,"A behind the scenes documentary from the making of the ""Two Towers""",8.563,2003-04-01
Película,The Quest Fulfilled: A Director's Vision,,,6.3,2003-12-26
